serial_no,abandon_dt,amend_reg_dt,amend_lb_for_app_in,amend_lb_for_reg_in,amend_lb_itu_in,amend_lb_use_in,reg_cancel_cd,reg_cancel_dt,cancel_pend_in,cert_mark_in,chg_reg_in,coll_memb_mark_in,coll_serv_mark_in,coll_trade_mark_in,draw_color_cur_in,draw_color_file_in,concur_use_in,concur_use_pend_in,file_location,draw_3d_cur_in,draw_3d_file_in,exm_attorney_name,lb_use_file_in,lb_for_app_cur_in,lb_for_reg_cur_in,lb_intl_reg_cur_in,lb_for_app_file_in,lb_for_reg_file_in,lb_intl_reg_file_in,lb_none_cur_in,filing_dt,for_priority_in,lb_itu_cur_in,lb_itu_file_in,interfer_pend_in,exm_office_cd,file_location_dt,mark_draw_cd,mark_id_char,opposit_pend_in,amend_principal_in,concur_use_pub_in,publication_dt,registration_dt,renewal_dt,renewal_file_in,repub_12c_dt,repub_12c_in,incontest_ack_in,incontest_file_in,acq_dist_in,acq_dist_part_in,use_afdv_acc_in,use_afdv_file_in,use_afdv_par_acc_in,serv_mark_in,std_char_claim_in,cfh_status_cd,cfh_status_dt,amend_supp_reg_in,supp_reg_in,trade_mark_in,lb_use_cur_in,lb_none_file_in,ir_auto_reg_dt,ir_first_refus_in,ir_death_dt,ir_publication_dt,ir_registration_dt,ir_registration_no,ir_renewal_dt,ir_status_cd,ir_status_dt,ir_priority_dt,ir_priority_in,related_other_in,registration_no,tad_file_id
71106538,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,FILE REPOSITORY (FRANCONIA),0,0,,1,0,0,0,0,0,0,0,1917-10-01,0,0,0,0,000,2004-07-07,5000,MARVELFIT,0,0,0,,1918-02-12,1978-02-12,0,,0,0,0,0,0,0,0,0,0,0,900,1998-11-16,0,0,1,1,0,,,,,,,,,,,,,120501,5
71115976,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,FILE REPOSITORY (FRANCONIA),0,0,,1,0,0,0,0,0,0,0,1919-02-19,0,0,0,0,000,2004-07-15,5000,MARVELLA,0,0,0,,1919-07-29,1979-07-29,0,,0,0,0,0,0,0,0,0,0,0,900,2000-12-29,0,0,1,1,0,,,,,,,,,,,,,126158,5
71127395,,,0,0,0,0,2,2001-08-18,0,0,0,0,0,0,0,0,0,0,FILE REPOSITORY (FRANCONIA),0,0,,1,0,0,0,0,0,0,0,1920-01-20,0,0,0,0,000,2004-07-15,1000,MARVEL,0,0,0,,1920-08-10,1980-08-10,0,1949-04-12,1,1,0,0,0,1,0,0,0,0,710,2001-08-18,0,0,1,1,0,,,,,,,,,,,,,134066,5
71128085,,,0,0,0,0,2,2001-11-11,0,0,0,0,0,0,0,0,0,0,FILE REPOSITORY (FRANCONIA),0,0,,1,0,0,0,0,0,0,0,1920-02-07,0,0,0,0,000,2004-07-16,1000,MARVEL,0,0,0,,1920-11-02,1980-11-02,0,,0,0,0,0,0,0,0,0,0,0,710,2001-11-11,0,0,1,1,0,,,,,,,,,,,,,136393,5
71138217,,,0,0,0,0,2,2002-06-29,0,0,0,0,0,0,0,0,0,0,FILE REPOSITORY (FRANCONIA),0,0,,1,0,0,0,0,0,0,0,1920-10-12,0,0,0,0,000,2004-07-14,5000,MARVELAINE,0,0,0,,1921-06-21,1981-06-21,0,,0,0,0,0,0,0,0,0,0,0,710,2002-06-29,0,0,1,1,0,,,,,,,,,,,,0.0,143949,5
71141083,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,FILE DESTROYED,0,0,,1,0,0,0,0,0,0,0,1920-12-14,0,0,0,0,000,1989-06-01,3000,STANLEY S.W.,0,0,0,,1922-02-28,1962-02-28,1,,0,0,0,0,0,0,0,0,0,0,900,1982-05-28,0,0,1,1,0,,,,,,,,,,,,0.0,152513,5
71149499,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,FILE DESTROYED,0,0,,1,0,0,0,0,0,0,0,1921-06-22,0,0,0,0,000,1989-06-01,5000,TONIKEL,0,0,0,,1922-02-21,1962-02-21,1,,0,0,0,0,0,0,0,0,0,0,900,1982-05-21,0,0,1,1,0,,,,,,,,,,,,,152112,5
71151933,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,FILE DESTROYED,0,0,,1,0,0,0,0,0,0,0,1921-08-19,0,0,0,0,000,1989-06-01,5000,THE MARVEL,0,0,0,,1922-01-24,1982-01-24,0,1957-09-03,1,1,0,0,0,1,0,0,0,0,900,1982-09-08,0,0,1,1,0,,,,,,,,,,,,,151079,5
71162956,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,FILE DESTROYED,0,0,,1,0,0,0,0,0,0,0,1922-04-26,0,0,0,0,000,1989-06-01,3000,SEBASTOPOL APPLE GROWERS UNION,0,0,0,,1923-03-27,,0,,0,0,0,0,0,0,0,0,0,0,900,1986-01-10,0,0,1,1,0,,,,,,,,,,,,,165987,5
71163129,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,GENERIC WEB UPDATE,0,0,,1,0,0,0,0,0,0,0,1922-05-01,0,0,0,0,,2023-09-13,3000,A APPLETON ELECTRIC-PRODUCTS-,0,0,0,,1923-03-06,2023-03-06,0,1948-02-03,1,1,0,0,0,1,0,0,0,0,800,2023-09-13,0,0,1,1,0,,,,,,,,,,,,,165305,5
71164710,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,FILE DESTROYED,0,0,,1,0,0,0,0,0,0,0,1922-05-31,0,0,0,0,000,1989-06-01,5000,MARVELLUM,0,0,0,,1922-10-31,,0,1948-06-01,1,1,0,0,0,1,0,0,0,0,900,1986-01-10,0,0,1,1,0,,,,,,,,,,,,,160919,5
71171209,,,0,0,0,0,2,2004-04-24,0,0,0,0,0,0,0,0,0,0,,0,0,,1,0,0,0,0,0,0,0,1922-10-26,0,0,0,0,000,,3000,DISNEY QUALITY SUPERFINE HATTER NEW YORK,0,0,0,,1923-07-17,1983-07-17,0,1949-02-01,1,1,0,0,0,1,0,0,0,0,710,2004-04-24,0,0,1,1,0,,,,,,,,,,,,,170392,5
71178857,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,FILE DESTROYED,0,0,,1,0,0,0,0,0,0,0,1923-04-09,0,0,0,0,000,1989-06-01,5000,MARVELHIDE,0,0,0,,1923-08-21,,0,1948-06-01,1,1,0,0,0,1,0,0,0,0,900,1986-01-10,0,0,1,1,0,,,,,,,,,,,,,171982,5
71182889,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,FILE DESTROYED,0,0,,1,0,0,0,0,0,0,0,1923-07-06,0,0,0,0,000,1989-06-01,1000,MARVEL,0,0,0,,1924-03-11,,0,1948-02-03,1,1,0,0,0,1,0,0,0,0,900,1986-01-10,0,0,1,1,0,,,,,,,,,,,,,181142,5
71211913,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,FILE DESTROYED,0,0,,1,0,0,0,0,0,0,0,1925-03-31,0,0,0,0,000,1989-06-01,5000,MARVELEEN,0,0,0,,1925-07-28,1985-07-28,0,,0,0,0,0,0,0,0,0,0,0,900,1986-01-10,0,0,1,1,0,,,,,,,,,,,,0.0,201469,5
71212990,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,GENERIC WEB UPDATE,0,0,,1,0,0,0,0,0,0,0,1925-04-20,0,0,0,0,,2016-07-18,1000,MARVEL,0,0,0,,1926-01-05,2016-01-05,0,1971-01-05,1,1,0,0,0,1,0,0,0,0,800,2016-07-18,0,0,1,1,0,,,,,,,,,,,,,207685,5
71225011,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,FILE REPOSITORY (FRANCONIA),0,0,,1,0,0,0,0,0,0,0,1925-12-22,0,0,0,0,000,1999-04-09,5000,MANIKEW,0,0,0,,1926-12-07,1966-12-07,0,,0,0,0,0,0,0,0,0,0,0,900,1989-01-04,0,0,1,1,0,,,,,,,,,,,,,221763,5
71228853,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,FILE REPOSITORY (FRANCONIA),0,0,,1,0,1,0,0,1,0,0,1926-03-19,0,0,0,0,000,1999-04-09,5W23,MARVELUBE,0,0,0,,1926-08-31,1966-08-31,0,,0,0,0,0,0,0,0,0,0,0,900,1988-12-29,0,0,1,1,0,,,,,,,,,,,,,217266,5
