case_row_id,case_number,case_number_raw,district_id,court_name,pacer_id,case_name,assigned_to,referred_to,case_cause,jurisdictional_basis,date_filed,date_closed,date_last_filed,jury_demand,demand,lead_case,related_case,settlement,case_type_1,case_type_2,case_type_3,case_type_note
10734.0,1:03-cv-00711,1:03-cv-00711-RBW,dcd,DC District Court,2249.0,SUMITOMO SPECIAL METALS COMPANY LTD v. AVA ENTERPRISES INC et al,Judge Reggie B. Walton,,35:271 Patent Infringement,Federal Question,2003-03-19,2004-12-21,2004-12-22,Both,,,,,1.0,,,
12756.0,1:05-cv-01644,1:05-cv-01644-HHK,dcd,DC District Court,116582.0,"PATIENTS NOT PATENTS, INC. v. MEDIMPEX UNITED, INC.",Judge Henry H. Kennedy,,28:1338 Patent Infringement,Federal Question,2005-08-16,2005-09-27,2009-12-16,,$3000.00,,,,5.0,,,
10507.0,1:03-cv-00061,1:03-cv-00061-RWR,dcd,DC District Court,1621.0,NATIONAL SEMICONDUCTOR CORPORATION v. RAMTRON INTERNATIONAL CORP.,Judge Richard W. Roberts,,35:145 Patent Infringement,Federal Question,2003-01-14,2005-12-14,2005-12-14,,,,,,6.0,11.0,,
10925.0,1:03-cv-01565,1:03-cv-01565-JDB,dcd,DC District Court,3217.0,INFINEON TECHNOLOGIES AG v. GREEN POWER TECHNOLOGY LTD,Judge John D. Bates,,35:145 Patent Infringement,Federal Question,2003-07-21,2005-06-29,2005-06-29,Plaintiff,,,,,2.0,,,
12605.0,1:05-cv-00706,1:05-cv-00706-RMU,dcd,DC District Court,114288.0,UNIVERSITY OF MASSACHUSETTS et al v. ROSLIN INSTITUTE et al,Judge Ricardo M. Urbina,,35:146 Patent Interference - Dissatisfaction,Federal Question,2005-04-07,2006-09-05,2009-12-04,,,,,,1.0,,,
13574.0,1:06-cv-01504,1:06-cv-01504-EGS,dcd,DC District Court,122263.0,"ERBE USA, INC. et al v. CANADY et al",Judge Emmet G. Sullivan,,15:1125 Trademark Infringement (Lanham Act),Federal Question,2006-08-25,2006-11-21,2010-01-08,,,,,,5.0,,,
12724.0,1:05-cv-01333,1:05-cv-01333-RWR,dcd,DC District Court,115893.0,FLEMING v. FORD MOTOR COMPANY,Judge Richard W. Roberts,,35:271 Patent Infringement,Federal Question,2005-07-01,2006-03-31,2009-12-16,Plaintiff,$100000000.00,,,,1.0,,,
12483.0,1:05-cv-00353,1:05-cv-00353-RMU,dcd,DC District Court,113513.0,UNIVERSITY OF MASSACHUSETTS et al v. ROSLIN INSTITUTE et al,Judge Ricardo M. Urbina,,35:145 Patent Infringement,Federal Question,2005-02-18,2006-09-05,2009-12-10,,,,,,11.0,,,
11895.0,1:04-cv-01836,1:04-cv-01836-RBW,dcd,DC District Court,111514.0,"KENG'S FIREARMS SPECIALTY, INC. v. ROSS",Judge Reggie B. Walton,,35:271 Patent Infringement,Federal Question,2004-10-21,2005-01-19,2005-01-19,,,,,,1.0,,,
14445.0,1:07-cv-02138,1:07-cv-02138-RWR,dcd,DC District Court,128540.0,"NOVARTIS VACCINES AND DIAGNOSTICS, INC. v. UNITED STATES DEPARTMENT OF HEALTH AND HUMAN SERVICES et al",Judge Richard W. Roberts,,35:145 Patent Infringement,U.S. Government Defendant,2007-11-27,2008-04-29,2010-02-04,,,,1:07-cv-00034-RWR; 1:08-cv-00161-RWR,,11.0,,,
10713.0,1:03-cv-00605,1:03-cv-00605-GK,dcd,DC District Court,2148.0,GUILIN GUANGLU MEASURING INSTRUMENT CO. LTD v. C.E. JOHANSSON AB et al,Judge Gladys Kessler,,28:2201 Declaratory Judgement,Federal Question,2003-03-04,2005-02-28,2005-08-15,,,,,,2.0,,,
12747.0,1:05-cv-01560,1:05-cv-01560-ESH,dcd,DC District Court,116310.0,"CITIZEN ELECTRONICS COMPANY, LTD. v. OSRAM GMBH et al",Judge Ellen S. Huvelle,,28:1338 Patent Infringement,Federal Question,2005-08-02,2005-12-20,2009-12-16,Plaintiff,,,,,2.0,,,
11005.0,1:03-cv-02439,1:03-cv-02439-RMU,dcd,DC District Court,105148.0,MONSANTO COMPANY et al v. MAX-PLANCK-GESELLSCHAFT ZUR FORDERUNG DER WISSENSCHAFTEN E.V.,Judge Ricardo M. Urbina,,35:146 Patent Interference - Dissatisfaction,Federal Question,2003-11-25,2005-03-22,2005-03-22,,,,,,6.0,11.0,,
10901.0,1:03-cv-01317,1:03-cv-01317-RCL,dcd,DC District Court,2744.0,JECKSON ELECTRIC COMPANY LIMITED v. GPE INTERNATIONAL LIMITED et al,Chief Judge Royce C. Lamberth,,28:2201 Constitutionality of State Statute(s),Federal Question,2003-06-17,2005-09-12,2005-09-12,Both,,,,,2.0,,,
11862.0,1:04-cv-01590,1:04-cv-01590-CKK,dcd,DC District Court,110772.0,NANOVIBRONIX INC vs. WEISS,Judge Colleen Kollar-Kotelly,,28:1338 Patent Infringement,Federal Question,2004-09-13,2005-02-23,2005-02-23,Plaintiff,,,,,2.0,,,
13422.0,1:06-cv-00658,1:06-cv-00658-HHK,dcd,DC District Court,120152.0,"INTERVET, INC. v. MERIAL LIMITED et al",Judge Henry H. Kennedy,Magistrate Judge John M. Facciola,28:2201 Declaratory Judgement,Federal Question,2006-04-11,2011-03-11,2011-03-14,Defendant,,,1:07-cv-00559-HHK; 1:08-cv-02162-HHK,,2.0,,,
12738.0,1:05-cv-01426,1:05-cv-01426-RBW,dcd,DC District Court,116132.0,K-2 CORPORATION v. GOODWELL INTERNATIONAL LIMITED et al,Judge Reggie B. Walton,,28:2201 Declaratory Judgement,Federal Question,2005-07-19,2006-08-24,2009-12-04,Defendant,,,,,3.0,,,
10868.0,1:03-cv-01133,1:03-cv-01133-RWR,dcd,DC District Court,2583.0,REGENTS OF THE UNIVERSITY OF CALIFORNIA v. ROGAN,Judge Richard W. Roberts,,35:145 Patent Infringement,U.S. Government Defendant,2003-05-27,2005-06-30,2006-12-06,,,,,,11.0,,,
11582.0,1:04-cv-00430,1:04-cv-00430-RJL,dcd,DC District Court,107837.0,"TAKEDA CHEMICAL INDUSTRIES, LTD. et al v. ALPHAPHARM PTY, LTD. et al",Judge Richard J. Leon,,35:271 Patent Infringement,Federal Question,2004-03-16,2007-01-17,2007-01-17,Plaintiff,,,,,1.0,,,
11510.0,1:04-cv-00268,1:04-cv-00268-CKK,dcd,DC District Court,107366.0,CHUNG v. LIU,Judge Colleen Kollar-Kotelly,,28:1338 Patent Infringement,Federal Question,2004-02-18,2005-10-20,2005-10-20,,,,,,6.0,,,
14414.0,1:07-cv-01771,1:07-cv-01771-PLF,dcd,DC District Court,127630.0,JUNIPER NETWORKS INC v. BAHATTAB,Judge Paul L. Friedman,Magistrate Judge Alan Kay,28:1338 Patent Infringement,Federal Question,2007-10-03,2014-01-08,2014-01-10,Plaintiff,,,,,2.0,,,
14354.0,1:07-cv-01222,1:07-cv-01222-RDM,dcd,DC District Court,126420.0,"MATSUSHITA ELECTRIC INDUSTRIAL CO., LTD. et al v. PAPST LICENSING GMBH & CO. KG",Judge Randolph D. Moss,,35:145 Patent Infringement,Federal Question,2007-07-06,2011-12-21,2010-08-27,Plaintiff,,,1:07-cv-01118-RMC; 1:07-mc-00493-RMC,,2.0,,,
11874.0,1:04-cv-01675,1:04-cv-01675-RJL,dcd,DC District Court,111072.0,"ALEXANDER v HELEN OF TROY, LTD.",Judge Richard J. Leon,,35:271 Patent Infringement,Federal Question,2004-09-30,2005-09-19,2005-09-19,Plaintiff,,,,,1.0,,,
